encoding,depth,seed,seasonal_lag,center_fidelity,neighbor_geometric_mean_fidelity,neighbor_arithmetic_mean_fidelity,log10_seasonal_prominence,seasonal_prominence_ratio,seasonal_prominence_arithmetic_ratio
learnable_seasonal_cdf,4,46,12,0.0192752377016184,0.000149164175983903,0.00020254202193523084,2.1113352091416324,129.22162827955742,95.16661045174251
learnable_seasonal_cdf,4,46,24,0.0686506542941554,0.00016780284090170256,0.0002730619164166784,2.611845371597373,409.11497043348834,251.41057821259133
learnable_seasonal_cdf,4,46,36,0.0156651952108616,0.00013584680123442805,0.0001731292147352317,2.061886394582216,115.31515698944206,90.48267927985779
learnable_seasonal_cdf,5,42,12,0.0128992589189078,0.00012267679794826633,0.0001534622359784156,2.0218023284601614,105.14831764966274,84.05493922766821
learnable_seasonal_cdf,5,42,24,0.0382125544459512,0.00016531679895353632,0.00024741194598603056,2.3638890831237394,231.14743745244652,154.4491083228001
learnable_seasonal_cdf,5,42,36,0.0109804978996655,0.000111630470664851,0.00013424215028207232,1.9928392773579422,98.36470127078769,81.79620094428655
learnable_seasonal_cdf,5,43,12,0.0118663173406098,8.910800853107903e-05,9.92721470920577e-05,2.124399220724495,133.16779867738904,119.53319927296273
learnable_seasonal_cdf,5,43,24,0.0511348612287676,0.00011738862748080632,0.00016283257413159965,2.6390910568486126,435.60319535321605,314.0333652616762
learnable_seasonal_cdf,5,43,36,0.0061358046861407,8.434225080045819e-05,9.292791119172122e-05,1.8618263401368798,72.7488847867855,66.02757564927734
learnable_seasonal_cdf,5,44,12,0.0259070056319183,0.00014894319656933038,0.00021165950079818352,2.240396549229513,173.93883190803592,122.39944596968753
learnable_seasonal_cdf,5,44,24,0.0649285921639207,0.00018319526979551466,0.000264928338737087,2.549521730488589,354.42286384574743,245.07982978882217
learnable_seasonal_cdf,5,44,36,0.023203112546455,0.00012353536508558167,0.00016864666979925244,2.273754943531309,187.82566862841716,137.58417272084108
learnable_seasonal_cdf,5,45,12,0.0272445875556058,0.00022501771919870896,0.0003382188303148208,2.0830635193664615,121.07752070647652,80.55313635330711
learnable_seasonal_cdf,5,45,24,0.0709930400309249,0.00023011522368714569,0.00035959828887021896,2.4892704225757107,308.51083597773544,197.42318645055255
learnable_seasonal_cdf,5,45,36,0.0241349397208825,0.00021365922940992107,0.000302829186201283,2.0529245607470883,112.95996801794051,79.69819561857095
learnable_seasonal_cdf,5,46,12,0.0130116389266213,0.00011570297217885342,0.00013846329253907534,2.05098748783677,112.45725742038783,93.9717573374136
learnable_seasonal_cdf,5,46,24,0.0507503033545015,0.00010822717106098179,0.00012296989332945054,2.671102335925837,468.9238650237445,412.70511001042814
learnable_seasonal_cdf,5,46,36,0.0076419018663334,9.176542709595687e-05,0.00010613475395903534,1.9205223661374515,83.27648122143485,72.00188045174093
learnable_seasonal_cdf,6,42,12,0.0143856013519381,8.07364827861975e-05,8.182465192340077e-05,2.250858195306018,178.1796884815179,175.81011362449814
learnable_seasonal_cdf,6,42,24,0.0477629593110938,7.708477489763451e-05,7.722899282047434e-05,2.792122618577354,619.615992581169,618.4589176518597
learnable_seasonal_cdf,6,42,36,0.0091189586219522,7.975529844560949e-05,8.074651398805224e-05,2.0581857005551045,114.33671241505083,112.9331555205157
learnable_seasonal_cdf,6,43,12,0.0291180943020967,0.00010874229403172517,0.00012405212927738685,2.4277644575549853,267.7715654371022,234.72466350808992
learnable_seasonal_cdf,6,43,24,0.0622034137562146,0.00012820261224307585,0.00015431517721746176,2.6859173452434164,485.1961490322453,403.0932982603339
